iter	RMSE
0	13.95691833
1	13.06193649
2	12.25522434
3	11.54365373
4	10.89087988
5	10.37916535
6	9.876605516
7	9.431625836
8	9.008029127
9	8.595356386
10	8.227239512
11	7.914080065
12	7.630455881
13	7.367625828
14	7.133561993
15	6.954707955
16	6.790732597
17	6.636050053
18	6.468431684
19	6.317816445
20	6.209123081
21	6.108673987
22	6.020754593
23	5.937079103
24	5.860051428
25	5.789549573
26	5.71897705
27	5.674789571
28	5.614942592
29	5.574124872
30	5.540356212
31	5.498823417
32	5.461656991
33	5.430092288
34	5.405833179
35	5.378672526
36	5.342875698
37	5.330744922
38	5.312586133
39	5.287387155
40	5.265256688
41	5.253441335
42	5.234237708
43	5.202554085
44	5.187062004
45	5.175187076
46	5.155504701
47	5.136431738
48	5.1269809
49	5.112907485
50	5.099793423
51	5.087437139
52	5.073928601
53	5.061655193
54	5.052060682
55	5.030510271
56	5.022687972
57	5.018567876
58	5.007629453
59	4.990708931
60	4.980579651
61	4.967670257
62	4.961881481
63	4.952916193
64	4.944755198
65	4.938703611
66	4.929995847
67	4.915757084
68	4.906918875
69	4.893991208
70	4.88112443
71	4.864704794
72	4.853096432
73	4.840895536
74	4.83259204
75	4.824844265
76	4.818850352
77	4.805909757
78	4.795109487
79	4.78654699
80	4.768785663
81	4.754572059
82	4.744376611
83	4.733336458
84	4.727702207
85	4.720426677
86	4.708583114
87	4.699319482
88	4.69419247
89	4.682626106
90	4.67413093
91	4.660337712
92	4.637167801
93	4.620147708
94	4.613088599
95	4.600734715
96	4.598578048
97	4.586571022
98	4.580355335
99	4.563424567
