iter	Passed	Remaining
0	2	229
1	4	202
2	6	215
3	9	216
4	11	217
5	13	214
6	16	219
7	18	217
8	21	213
9	23	207
10	25	203
11	27	200
12	29	199
13	31	196
14	34	195
15	36	193
16	39	193
17	42	192
18	44	190
19	46	187
20	48	183
21	50	179
22	52	177
23	54	173
24	57	171
25	58	167
26	60	164
27	62	159
28	63	156
29	65	153
30	67	150
31	69	147
32	71	144
33	73	142
34	74	138
35	76	135
36	78	132
37	78	128
38	80	126
39	82	123
40	84	121
41	86	118
42	88	116
43	90	114
44	91	112
45	93	110
46	95	107
47	97	105
48	99	103
49	101	101
50	102	98
51	104	96
52	106	94
53	108	92
54	109	89
55	111	87
56	112	84
57	113	82
58	115	80
59	116	77
60	118	75
61	119	73
62	120	70
63	121	68
64	122	66
65	123	63
66	124	61
67	126	59
68	127	57
69	128	54
70	129	52
71	130	50
72	132	48
73	133	46
74	135	45
75	136	43
76	137	41
77	138	39
78	139	37
79	141	35
80	142	33
81	143	31
82	145	29
83	146	27
84	147	26
85	148	24
86	149	22
87	150	20
88	151	18
89	152	16
90	153	15
91	154	13
92	155	11
93	156	10
94	157	8
95	158	6
96	159	4
97	160	3
98	161	1
99	162	0
