iter	RMSE
0	14.49184873
1	14.11721344
2	13.7515783
3	13.39400775
4	13.0511463
5	12.78029918
6	12.47966676
7	12.2122744
8	11.96148067
9	11.66478208
10	11.38806745
11	11.16693754
12	10.90921479
13	10.68442533
14	10.45155781
15	10.22046865
16	10.01404951
17	9.8170545
18	9.613397171
19	9.424787984
20	9.275487916
21	9.106971591
22	8.935708734
23	8.783665685
24	8.620692938
25	8.494004032
26	8.364133956
27	8.255264892
28	8.125107825
29	8.009811532
30	7.906754705
31	7.800038182
32	7.686501942
33	7.594977461
34	7.491144929
35	7.399652139
36	7.307175994
37	7.226522726
38	7.146210295
39	7.07083378
40	7.000668372
41	6.935165288
42	6.863848724
43	6.803900931
44	6.741065548
45	6.67543036
46	6.619182496
47	6.560171036
48	6.502203955
49	6.447143021
50	6.393557133
51	6.343055631
52	6.301603304
53	6.255146262
54	6.209920572
55	6.173974924
56	6.133859855
57	6.096218699
58	6.057669804
59	6.027599316
60	5.996702395
61	5.968679203
62	5.942956953
63	5.912643341
64	5.882576937
65	5.856637976
66	5.830841953
67	5.803421183
68	5.782809662
69	5.757460939
70	5.735104201
71	5.717290349
72	5.697785815
73	5.677762571
74	5.661432254
75	5.643692952
76	5.628242657
77	5.613528943
78	5.597258938
79	5.580120992
80	5.571036192
81	5.553714632
82	5.538655742
83	5.523183056
84	5.516477388
85	5.504098317
86	5.490575011
87	5.479097649
88	5.466093859
89	5.454419759
90	5.442306645
91	5.432875978
92	5.42035747
93	5.412112981
94	5.404145945
95	5.391303214
96	5.38173931
97	5.374223962
98	5.366790831
99	5.35635016
100	5.34830064
101	5.338336716
102	5.328899956
103	5.319752981
104	5.311577042
105	5.298875122
106	5.289485306
107	5.280991776
108	5.274049432
109	5.266348857
110	5.258687945
111	5.25197357
112	5.242392095
113	5.235075094
114	5.225569467
115	5.218280798
116	5.214842486
117	5.207951517
118	5.202111465
119	5.192593131
120	5.187089513
121	5.184912928
122	5.179952399
123	5.172469332
124	5.167462332
125	5.16183188
126	5.156134813
127	5.152622934
128	5.143901769
129	5.137468346
130	5.129797057
131	5.124201653
132	5.117222675
133	5.108207547
134	5.104827489
135	5.099565242
136	5.089965552
137	5.083312131
138	5.076806669
139	5.072383395
140	5.067947539
141	5.065508659
142	5.056818649
143	5.047979173
144	5.043326058
145	5.038814892
146	5.032193718
147	5.024059523
148	5.016701596
149	5.010235231
150	5.00685264
151	5.003503001
152	4.998221789
153	4.993020641
154	4.988267852
155	4.984811109
156	4.97887872
157	4.96741571
158	4.961950698
159	4.956008931
160	4.95243334
161	4.951677165
162	4.947714212
163	4.943947166
164	4.939832569
165	4.936925845
166	4.931777118
167	4.924478289
168	4.921998583
169	4.917030155
170	4.914786024
171	4.910563935
172	4.906928096
173	4.901437156
174	4.894186626
175	4.890599778
176	4.886015812
177	4.884873343
178	4.87672629
179	4.874275362
180	4.869283559
181	4.866146493
182	4.86177448
183	4.85771605
184	4.852669449
185	4.849511218
186	4.84600582
187	4.84567727
188	4.838358449
189	4.834101392
190	4.829553785
191	4.827388711
192	4.824525063
193	4.817721175
194	4.811472265
195	4.807402376
196	4.804557049
197	4.799688256
198	4.794547297
199	4.792410843
200	4.791558154
201	4.786540477
202	4.783755266
203	4.780912566
204	4.777424283
205	4.773608081
206	4.769652839
207	4.767628343
208	4.759459905
209	4.754903263
210	4.750221335
211	4.746572252
212	4.743063625
213	4.739567941
214	4.734022811
215	4.731589869
216	4.729380691
217	4.724203649
218	4.720009296
219	4.71333934
220	4.710609819
221	4.701945475
222	4.696371225
223	4.691756995
224	4.689324958
225	4.681495323
226	4.678833739
227	4.672965595
228	4.668229465
229	4.661726702
230	4.655390688
231	4.654713348
232	4.651172351
233	4.648879048
234	4.643908371
235	4.640085549
236	4.637075174
237	4.633164888
238	4.630921586
239	4.624340224
240	4.617711327
241	4.613504191
242	4.609742572
243	4.605441359
244	4.60187911
245	4.599722508
246	4.596577716
247	4.594075952
248	4.587490166
249	4.585605188
250	4.583441844
251	4.580437905
252	4.579801554
253	4.573711737
254	4.567050105
255	4.561255807
256	4.557928482
257	4.554686357
258	4.550206742
259	4.547453785
260	4.541583957
261	4.538549343
262	4.53271748
263	4.529266863
264	4.52643732
265	4.523352911
266	4.520672193
267	4.518292559
268	4.512906254
269	4.509738754
270	4.506685987
271	4.501274687
272	4.498076597
273	4.493751521
274	4.491220566
275	4.490345038
276	4.487073533
277	4.485087283
278	4.479250551
279	4.473346803
280	4.472573285
281	4.470918278
282	4.464946604
283	4.459922426
284	4.458906802
285	4.454084999
286	4.448571034
287	4.443523968
288	4.44106139
289	4.440704457
290	4.435775864
291	4.432809851
